Customer ID,First Name,Last Name,Age,Gender,Address,City,Contact Number,Email,Account Type,Account Balance,Date Of Account Opening,Last Transaction Date,TransactionID,Transaction Date,Transaction Type,Transaction Amount,Account Balance After Transaction,Branch ID,Loan ID,Loan Amount,Loan Type,Interest Rate,Loan Term,Approval/Rejection Date,Loan Status,CardID,Card Type,Credit Limit,Credit Card Balance,Minimum Payment Due,Payment Due Date,Last Credit Card Payment Date,Rewards Points,Feedback ID,Feedback Date,Feedback Type,Resolution Status,Resolution Date,Anomaly,Transaction Description,Merchant Category,KYC Status,KYC Last Updated Date,AML Flag,Account Freeze Flag
1.0,Joshua,Hall,45.0,Male,,Fort Worth,19458794854.0,joshua.hall@kag.com,Current,1313.38,5/26/2006,4/23/2023,1.0,12/7/2023,Withdrawal,1457.61,2770.99,,1.0,32200.06,Mortgage,2.64,36.0,,Rejected,1.0,AMEX,1737.88,4524.32,226.22,11/26/2023,3/20/2023,8142.0,1.0,,Suggestion,Resolved,1/22/2023,1.0,POS - Big Bazaar,Insurance,Expired,2022-01-03,0.0,0.0
2.0,Mark,Taylor,47.0,Female,Address_2,Louisville,19458794855.0,mark.taylor@kag.com,Current,5988.46,3/2/2006,1/27/2023,2.0,4/27/2023,Deposit,1660.99,7649.45,63.0,2.0,47743.52,Auto,2.48,36.0,7/30/2020,Approved,2.0,MasterCard,1799.36,856.7,42.84,11/5/2023,6/16/2023,4306.0,2.0,4/7/2023,Complaint,Resolved,8/27/2023,1.0,NEFT Transfer - Rent,,Incomplete,2021-03-06,0.0,0.0
3.0,Joseph,Flores,25.0,Female,Address_3,Philadelphia,19458794856.0,joseph.flores@kag.com,Current,8277.88,7/19/2015,1/1/2023,3.0,4/5/2023,Deposit,839.91,7437.97,82.0,3.0,47981.31,Auto,7.84,24.0,1/17/2021,Closed,3.0,AMEX,6112.96,3242.36,162.12,1/8/2023,3/20/2023,4842.0,3.0,9/7/2023,Praise,Pending,5/11/2023,1.0,UPI - Swiggy,Utilities,Expired,2024-06-05,0.0,0.0
4.0,Kevin,Lee,52.0,Other,Address_4,Oklahoma City,19458794857.0,kevin.lee@kag.com,Savings,7487.21,1/30/2008,8/2/2023,4.0,7/28/2023,Withdrawal,4908.89,12396.1,41.0,4.0,4482.8,Personal,7.21,48.0,2/15/2022,Approved,4.0,MasterCard,2069.41,4329.17,216.46,9/8/2023,10/15/2023,9463.0,4.0,5/28/2023,Complaint,Resolved,7/5/2023,1.0,Bill Payment - Electricity,Salary/Income,Expired,2023-01-24,0.0,0.0
5.0,Linda,Johnson,68.0,Other,Address_5,Phoenix,19458794858.0,linda.johnson@kag.com,Savings,6993.55,5/25/2021,3/27/2023,5.0,1/16/2023,Transfer,589.07,6404.48,9.0,5.0,1092.33,Mortgage,5.37,12.0,7/31/2020,Approved,5.0,Visa,2765.3,25.72,1.29,3/4/2023,7/27/2023,2209.0,5.0,2/12/2023,Complaint,Resolved,11/21/2023,1.0,POS - Big Bazaar,Rent,Complete,2025-03-24,0.0,0.0
6.0,Charles,Torres,,Male,Address_6,El Paso,19458794859.0,charles.torres@kag.com,Savings,9295.64,12/21/2015,6/4/2023,6.0,4/21/2023,Withdrawal,4914.67,4380.97,20.0,6.0,48039.24,Mortgage,1.45,24.0,,Closed,6.0,AMEX,8029.18,1331.7,66.59,5/13/2023,11/16/2023,478.0,6.0,8/6/2023,Praise,Resolved,7/23/2023,1.0,POS - Flipkart,Food & Dining,Expired,2023-03-27,1.0,0.0
7.0,Joshua,Garcia,43.0,Male,Address_7,Dallas,19458794860.0,joshua.garcia@kag.com,Current,4005.72,7/7/2022,3/21/2023,7.0,11/22/2023,Deposit,3534.9,470.82,21.0,7.0,27230.51,Mortgage,5.25,24.0,1/26/2020,Approved,7.0,MasterCard,2996.82,1441.65,72.08,3/16/2023,10/9/2023,5745.0,,8/20/2023,Complaint,Pending,7/31/2023,1.0,Salary from Infosys Ltd.,Rent,Complete,2025-04-28,0.0,0.0
8.0,Christopher,Baker,47.0,Male,Address_8,Memphis,19458794861.0,christopher.baker@kag.com,Savings,1458.45,12/14/2022,3/1/2023,8.0,8/10/2023,Deposit,454.87,1003.58,25.0,8.0,35319.63,Mortgage,8.51,12.0,10/21/2020,Approved,8.0,AMEX,4470.78,3450.21,172.51,7/23/2023,7/18/2023,5559.0,8.0,8/30/2023,Complaint,Pending,12/19/2023,1.0,POS - Big Bazaar,Rent,Incomplete,2023-01-26,0.0,0.0
9.0,Daniel,Moore,52.0,Male,Address_9,Indianapolis,19458794862.0,daniel.moore@kag.com,Current,1109.3,4/29/2012,11/5/2023,9.0,9/28/2023,Withdrawal,768.56,340.74,66.0,9.0,45717.26,Mortgage,1.1,60.0,12/17/2022,Rejected,9.0,AMEX,4349.57,3227.18,161.36,11/28/2023,9/25/2023,4432.0,9.0,2/10/2023,Suggestion,,7/12/2023,-1.0,UPI - Swiggy,Salary/Income,,2021-06-30,0.0,0.0
10.0,William,Robinson,55.0,Other,Address_10,Washington,19458794863.0,william.robinson@kag.com,Current,9554.62,12/20/2021,2/5/2023,10.0,12/29/2023,Deposit,1641.59,11196.21,30.0,10.0,22224.58,Auto,1.92,24.0,9/11/2021,Closed,10.0,Visa,4961.44,2765.38,138.27,11/15/2023,1/7/2023,8226.0,10.0,10/20/2023,Complaint,Resolved,4/30/2023,1.0,Bill Payment - Electricity,Insurance,Incomplete,2025-03-05,0.0,0.0
11.0,William,Perez,28.0,Male,Address_11,San Diego,19458794864.0,william.perez@kag.com,Savings,5930.75,8/12/2015,10/18/2023,11.0,6/8/2023,Withdrawal,1309.13,7239.88,72.0,11.0,22592.01,Personal,8.28,,11/20/2022,Rejected,11.0,Visa,4782.39,4564.25,228.21,6/7/2023,3/3/2023,4624.0,11.0,5/1/2023,Complaint,Pending,9/19/2023,1.0,NEFT Transfer - Rent,Utilities,Incomplete,2022-08-20,0.0,0.0
12.0,Nancy,Allen,37.0,Female,Address_12,Oklahoma City,19458794865.0,nancy.allen@kag.com,Current,8126.85,9/13/2005,10/16/2023,12.0,4/4/2023,Deposit,4865.91,12992.76,25.0,12.0,9182.1,Auto,5.73,48.0,7/29/2020,Approved,12.0,AMEX,5697.31,4935.07,246.75,11/17/2023,12/28/2023,3488.0,12.0,8/24/2023,Complaint,Pending,5/3/2023,1.0,UPI - Swiggy,Rent,Incomplete,2024-03-24,0.0,0.0
13.0,Margaret,Robinson,63.0,Female,Address_13,Columbus,19458794866.0,margaret.robinson@kag.com,Savings,5402.04,11/13/2010,11/21/2023,13.0,12/2/2023,Deposit,3070.58,8472.62,94.0,13.0,45385.59,Auto,6.96,36.0,9/20/2021,Approved,,Visa,5776.68,339.59,16.98,7/17/2023,1/13/2023,2102.0,13.0,2/22/2023,Praise,Resolved,1/13/2023,1.0,UPI - Swiggy,Utilities,Incomplete,2023-02-26,0.0,0.0
14.0,Michelle,Taylor,48.0,Female,Address_14,Colorado Springs,19458794867.0,michelle.taylor@kag.com,Savings,4045.09,8/14/2014,12/29/2023,14.0,10/27/2023,Transfer,381.21,4426.3,30.0,14.0,32735.99,Auto,7.71,48.0,12/21/2022,Approved,14.0,Visa,3018.46,4357.95,217.9,5/28/2023,9/29/2023,4833.0,14.0,11/16/2023,Praise,Resolved,,,Salary from Infosys Ltd.,Shopping,Incomplete,2025-04-08,0.0,0.0
